team,team_code,squad_overall,skill_index,longevity,social_score,squad_market_value_eur,star_power,prior_strength
Mexico,MEX,79.0,72.709375,0.4362297673325669,0.03913268241884104,312050000.0,1.5187578791961232,0.392767449790238
South Africa,RSA,70.8125,63.62812499999999,-0.07489660232010936,-0.7353033782064714,44685000.0,0.18048348137618575,-0.4828932156520323
South Korea,KOR,74.4375,68.02187500000001,0.051868501034041545,-0.4075539469025927,185300000.0,2.642048988325334,-0.03356557068046062
Czechia,CZE,78.0,73.215625,-0.17614364967610774,-0.3603112817653566,291500000.0,1.386795564018088,0.29088715265744425
Canada,CAN,73.625,67.5875,-0.3509919667733098,-0.5078854806359762,157650000.0,1.4852083404669185,-0.18192653242951587
Bosnia-Herzegovina,BIH,75.4375,67.225,0.1750294336449231,-0.24696878892311813,135200000.0,1.5187578791961232,-0.09812164846110163
Switzerland,SUI,79.0625,73.78125,-0.02914715949058862,0.32787199644287585,357800000.0,1.5842796104727666,0.3758386625454427
Brazil,BRA,85.4375,75.9,0.696525852717559,1.1924165209577078,1131500000.0,3.622430103268772,0.7710635949189072
Morocco,MAR,79.25,70.50625,0.13968040445143456,0.10309492883231332,371625000.0,1.5515254156327067,0.17225868484162388
Haiti,HAI,64.1,57.480000000000004,-0.7449137598913594,-1.0041455684858256,9025000.0,-0.8046345427062629,-1.1582991036595847
Scotland,SCO,76.875,70.08125000000001,-0.03616601397991521,-0.3955972278460406,275200000.0,1.6497479454879054,0.09368197765461764
United States,USA,75.875,70.165625,-0.311535575594559,-0.13299545868780147,217625000.0,1.4852083404669185,0.028066402861947153
Paraguay,PAR,74.8125,66.790625,-0.11001473876719621,-0.6266351040443076,122900000.0,0.31416206998461993,-0.21924095621904072
Australia,AUS,72.75,66.746875,0.06267273211401168,-0.713581167734066,72680000.0,0.14719271235526815,-0.2064085135620842
Türkiye,TUR,77.5,70.02812500000002,-0.3846584975432833,-0.301612302003424,294500000.0,1.4852083404669185,0.012601986320132782
Germany,GER,85.875,77.68124999999999,0.663609968235656,1.8508671365909573,1278000000.0,3.5904712373088756,0.8987724779765556
Curaçao,CUW,67.54545454545455,63.19090909090908,-0.21065072134644722,-0.8009790269650995,14400000.0,0.08057240131622584,-0.586821159995188
Ivory Coast,CIV,78.0,69.709375,-0.1770837829613902,-0.0717504521476562,322300000.0,1.5515254156327067,0.03908406199551521
Ecuador,ECU,73.9375,65.653125,-0.1585928626024022,-0.6459853523479503,113300000.0,0.4144636698092042,-0.3146336023498036
Netherlands,NED,83.0,73.88125000000001,-0.022144867300937864,1.0309728449091047,912000000.0,2.642048988325334,0.43824780333899593
Japan,JPN,75.5,67.634375,0.06077590324377098,-0.3229511081162786,159250000.0,1.2217654063891235,-0.09295171719992183
Sweden,SWE,77.5,70.5875,0.010504239451932849,-0.131983292718203,282300000.0,3.397473325770171,0.17586851786660043
Tunisia,TUN,70.875,65.2375,-0.47438379213059295,-0.7980062913799735,59410000.0,0.3806027515146257,-0.4379467050071947
Belgium,BEL,83.8125,76.575,0.6034493631996164,0.994241110219177,803000000.0,2.7066986472423267,0.7705840015526667
Egypt,EGY,72.25,64.2625,-0.49860814828264227,-0.2583184853334403,144225000.0,2.642048988325334,-0.4400585959416288
Iran,IRN,70.875,65.953125,-0.2709148621720881,-0.7787313670421561,52785000.0,0.24766798719280084,-0.347371938119436
New Zealand,NZL,68.75,63.724999999999994,-0.7425532934085359,-0.8824687779352036,85600000.0,0.21376034404781585,-0.5984733689773991
Spain,ESP,85.5,74.825,0.7905783605034155,1.3894900750216832,1160500000.0,2.6097041383601876,0.6938092172591849
Cape Verde,CPV,70.75,63.134375,-0.28073808847934895,-0.8060169927427985,74790000.0,-0.020076909820638134,-0.5500553627483559
Saudi Arabia,KSA,70.8125,65.4,-0.18722017925166914,-0.8241987090562505,49510000.0,-0.602380116399477,-0.38846312271063743
Uruguay,URU,80.875,72.05625,0.37659995737131335,0.30624353713946156,492525000.0,3.5265134617392255,0.386490764927937
France,FRA,85.625,77.19062500000001,0.12024659042388476,1.3047252223362475,1428000000.0,2.7066986472423267,0.7303811938464736
Senegal,SEN,78.8125,68.86250000000001,-0.0048746598726614465,-0.025693638689989844,395500000.0,2.642048988325334,0.04273313372001728
Iraq,IRQ,66.5,64.11250000000001,0.13710696991713478,-0.9228028866986979,3600000.0,-0.8719727727414693,-0.5101023124488455
Norway,NOR,76.8125,71.421875,-0.30337053852306195,-0.2623722687531396,335825000.0,2.6097041383601876,0.15946787276890728
Argentina,ARG,84.375,76.275,0.5921336597278154,1.0056191691201624,915000000.0,3.6873022291812645,0.7695569774018934
Algeria,ALG,77.875,70.728125,0.12765546044075282,0.0394586239505291,285810000.0,1.617020454287613,0.17795376856835213
Austria,AUT,78.9375,71.2,0.04973249826756126,0.23998778970058526,348700000.0,2.4793214004294817,0.21932672782071924
Jordan,JOR,64.33333333333333,58.45000000000001,-0.46059938544759577,-0.9961727053300348,3115000.0,-0.8383031443364742,-1.062769805405993
Portugal,POR,84.1875,76.0,0.3624390105941513,1.0414374443834964,1058600000.0,3.622430103268772,0.7028507646190978
Congo DR,COD,74.1875,67.034375,-0.23362917572104325,-0.6042843407625645,132200000.0,0.48083055591368834,-0.22257863698283897
Uzbekistan,UZB,68.16666666666667,61.13333333333333,-0.36367403052358543,-0.8666528571828604,10325000.0,-0.703181250055731,-0.7988549353678184
Colombia,COL,79.4375,72.03125,0.3244011004931622,0.1663865196381538,384100000.0,2.3811967501654165,0.34229613664821323
