date,home,away,pred_xg,pred_score,p_H,p_D,p_A,actual,result,pred_result,hit,p_actual,tot_pred,tot_act
2026-06-24,Bosnia-Herzegovina,Qatar,1.7-1.5,1-1,0.416,0.23,0.354,3-1,H,H,True,0.416,3.23,4
2026-06-24,South Africa,South Korea,1.0-1.2,0-1,0.314,0.292,0.393,1-0,H,A,False,0.314,2.16,1
2026-06-24,Canada,Switzerland,1.2-1.2,1-1,0.355,0.27,0.375,1-2,A,A,True,0.375,2.46,3
2026-06-24,Mexico,Czechia,1.8-1.2,1-1,0.502,0.232,0.266,3-0,H,H,True,0.502,3.0,3
2026-06-25,United States,Türkiye,1.8-1.2,1-1,0.497,0.232,0.271,2-3,A,H,False,0.271,3.0,5
2026-06-25,Paraguay,Australia,0.9-0.9,0-0,0.344,0.325,0.331,0-0,D,H,False,0.325,1.83,0
2026-06-25,Curaçao,Ivory Coast,0.7-2.2,0-2,0.112,0.182,0.707,0-2,A,A,True,0.707,2.93,2
2026-06-25,Ecuador,Germany,0.9-1.1,0-1,0.307,0.312,0.381,2-1,H,A,False,0.307,1.9500000000000002,3
2026-06-25,Japan,Sweden,1.6-1.0,1-0,0.508,0.248,0.244,1-1,D,H,False,0.248,2.63,2
2026-06-25,Tunisia,Netherlands,0.8-1.3,0-1,0.242,0.284,0.474,1-3,A,A,True,0.474,2.16,4
2026-06-26,Senegal,Iraq,1.2-0.7,1-0,0.468,0.303,0.229,5-0,H,H,True,0.468,1.94,5
2026-06-26,Norway,France,0.8-1.9,0-1,0.16,0.214,0.626,1-4,A,A,True,0.626,2.78,5
2026-06-26,Uruguay,Spain,1.1-1.1,1-1,0.338,0.288,0.374,0-1,A,A,True,0.374,2.2199999999999998,1
2026-06-26,Cape Verde,Saudi Arabia,0.7-0.9,0-0,0.268,0.345,0.386,0-0,D,A,False,0.345,1.65,0
2026-06-26,New Zealand,Belgium,0.7-2.1,0-2,0.105,0.186,0.709,1-5,A,A,True,0.709,2.78,6
2026-06-26,Egypt,Iran,1.0-0.9,0-0,0.365,0.314,0.321,1-1,D,H,False,0.314,1.9300000000000002,2
2026-06-27,Algeria,Austria,1.1-1.3,1-1,0.319,0.273,0.408,3-3,D,A,False,0.273,2.4000000000000004,6
2026-06-27,Jordan,Argentina,0.5-2.5,0-2,0.055,0.137,0.807,1-3,A,A,True,0.807,2.9699999999999998,4
2026-06-27,Colombia,Portugal,1.0-1.2,0-1,0.294,0.292,0.414,0-0,D,A,False,0.292,2.16,0
2026-06-27,Congo DR,Uzbekistan,1.0-0.8,0-0,0.408,0.328,0.264,3-1,H,H,True,0.408,1.77,4
2026-06-27,Panama,England,0.6-2.0,0-1,0.107,0.196,0.697,0-2,A,A,True,0.697,2.6199999999999997,2
2026-06-27,Croatia,Ghana,1.9-0.8,1-0,0.63,0.221,0.15,2-1,H,H,True,0.63,2.6,3
